6,4;11522,5;11241,5;3,552;3,329;1896,4;1,827;49557;1853852;4,408;164,9;7,738;120,20;17,70;161,03
6,5;11717,3;11431,5;3,522;3,381;1902,4;1,635;49706;1870400;4,348;163,6;7,729;120,60;17,70;162,47
6,6;11912,6;11622,1;3,490;3,433;1908,9;1,415;49860;1888826;4,290;162,5;7,723;120,94;17,70;164,07
6,7;12108,7;11813,3;3,454;3,485;1915,6;1,186;50016;1907813;4,234;161,5;7,719;121,27;17,70;165,72
6,8;12305,4;12005,3;3,416;3,537;1923,0;0,955;50177;1929224;4,180;160,7;7,717;121,62;17,70;167,58
6,9;12503,0;12198,0;3,376;3,590;1930,3;0,729;50345;1950478;4,127;159,9;7,717;121,96;17,70;169,43
7,0;12701,3;12391,5;3,333;3,642;1938,2;0,491;50523;1973470;4,077;159,3;7,719;121,74;17,70;171,42
7,1;12900,3;12585,7;3,288;3,695;1944,9;0,298;50686;1993193;4,027;158,4;7,722;121,51;17,70;173,14
7,2;13100,1;12780,6;3,241;3,748;1951,8;0,112;50857;2012938;3,979;157,5;7,727;121,42;17,70;174,85
7,3;13300,6;12976,2;3,193;3,800;1958,0;-0,056;51026;2030860;3,932;156,5;7,733;121,32;17,70;176,41
7,4;13501,6;13172,3;3,143;3,853;1964,2;-0,218;51201;2048225;3,887;155,5;7,740;121,23;17,70;177,92
7,5;13703,3;13369,1;3,093;3,906;1970,1;-0,371;51375;2064755;3,843;154,4;7,749;121,17;17,70;179,35
7,6;13905,6;13566,4;3,042;3,959;1975,6;-0,506;51539;2080153;3,799;153,3;7,758;121,15;17,70;180,69
7,7;14108,4;13764,3;2,990;4,012;1981,0;-0,638;51704;2095341;3,756;152,2;7,769;121,14;17,70;182,01
7,8;14311,7;13962,7;2,938;4,065;1986,3;-0,768;51874;2110246;3,715;151,1;7,780;121,14;17,70;182,01
7,9;14515,7;14161,6;2,885;4,118;1992,2;-0,879;52050;2126928;3,675;150,2;7,794;121,14;17,70;182,01
8,0;14720,2;14361,1;2,832;4,172;1997,8;-0,997;52231;2142850;3,637;149,2;7,809;121,14;17,70;182,01
8,1;14925,3;14561,2;2,779;4,225;2003,0;-1,085;52393;2157621;3,598;148,2;7,823;121,14;17,70;182,01
8,2;15130,9;14761,8;2,725;4,278;2008,2;-1,173;52559;2172384;3,560;147,2;7,839;121,14;17,70;182,01
8,3;15337,1;14963,0;2,673;4,332;2013,4;-1,260;52730;2187135;3,524;146,2;7,856;121,14;17,70;182,01
8,4;15543,8;15164,6;2,620;4,385;2018,6;-1,346;52904;2201808;3,489;145,2;7,874;121,14;17,70;182,01
8,5;15751,0;15366,8;2,567;4,439;2023,6;-1,427;53078;2215921;3,454;144,2;7,893;121,14;17,70;182,01
8,6;15958,7;15569,5;2,515;4,492;2028,2;-1,495;53239;2229067;3,419;143,2;7,912;121,14;17,70;182,01
8,7;16166,9;15772,6;2,463;4,546;2032,8;-1,562;53402;2242253;3,386;142,2;7,931;121,14;17,70;182,01
8,8;16375,6;15976,2;2,411;4,599;2037,4;-1,628;53567;2255311;3,353;141,2;7,952;121,14;17,70;182,01
8,9;16584,8;16180,3;2,360;4,653;2041,9;-1,692;53735;2268240;3,321;140,2;7,974;121,14;17,70;182,01
9,0;16794,4;16384,8;2,309;4,706;2046,4;-1,754;53904;2280960;3,290;139,2;7,996;121,14;17,70;182,01
